id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
364	LEPIDIUM SATIVUM	GARDEN CRESS	VIHANNESKRASSI	true	Kasvikset	27.323135755258125	1.4	0.6	3.3
367	CANTHARELLUS CIBARIUS	CHANTERELLE	KANTARELLI	true	Kasvikset	26.489005736137667	0.692	1.441	3.22
368	GYROMITRA ESCULENTA	FALSE MOREL	KORVASIENI	true	Kasvikset	21.673040152963672	0.692	0.3	3.22
369	ANETHUM GRAVEOLENS	DILL, FRESH	TILLI, TUORE	true	Kasvikset	29.729923518164433	0.8	0.8	2.1
370	PISUM SATIVUM	PEA, GREEN	HERNE, VIHREÄ, TUORE	true	Palkokasvit ja pähkinät	75.18642447418738	0.787	5.308	3.1
372	PHASEOLUS VULGARIS	BEAN, GREEN BEAN, STRING BEAN	PAPU, VIHREÄ TAITEPAPU, TUORE	true	Palkokasvit ja pähkinät	35.6453154875717	0.262	3.108	2.4
375	CORYLUS AVELLANA	NUT, HAZELNUT	PÄHKINÄ, HASSELPÄHKINÄ	true	Palkokasvit ja pähkinät	644.0009560229445	61	3.4	17.5
376	JUGLANS REGIA	NUT, WALNUT	PÄHKINÄ, SAKSANPÄHKINÄ	true	Palkokasvit ja pähkinät	664.3594646271509	65.21	2.6	6.7
377	CASTANEA SATIVA	CHESTNUT	KASTANJA	true	Palkokasvit ja pähkinät	194.89961759082217	2.2	7	6.8
378	ARACHIS HYPOGAEA	NUT, PEANUT	PÄHKINÄ, MAAPÄHKINÄ	true	Palkokasvit ja pähkinät	551.3145315487571	43	6.2	8.5
379	PRUNUS AMYGDALUS	ALMOND	MANTELI	true	Palkokasvit ja pähkinät	601.6013384321224	51.24	6.6	12.5
380	GLYSINE MAX	FLOUR, SOYA FLOUR, FULL FAT	JAUHO, SOIJAJAUHO, RASVAINEN	true	Palkokasvit ja pähkinät	466.4316443594646	23.5	11.21	11.9
381	GLYSINE MAX	FLOUR, SOYA FLOUR, LOW-FAT	JAUHO, SOIJAJAUHO, VÄHÄRASVAINEN	true	Palkokasvit ja pähkinät	390.6548757170172	7.2	13.6	14.4
384	MEDICAGO SATIVA, VIGNA MUNGO	BEANSPROUTS AND ALFALFA SPROUTS, AVERAGE	ITU, KESKIARVO, SINIMAILANEN, MUNGOPAPU	true	Kasvikset	35.87476099426386	0.7	0.8	1.5
385	SESAMUM INDICUM	SESAME SEED, WITH HULL	SEESAMINSIEMEN, KUORINEEN	false	Palkokasvit ja pähkinät	607.887189292543	54.8	0.4	12.3
386	CAPSICUM ANNUUM	SWEET PEPPER, RED	PAPRIKA, PUNAINEN	true	Kasvikset	28.38910133843212	0.3	4.5	1.9
387	CAPSICUM ANNUUM	SWEET PEPPER, GREEN	PAPRIKA, VIHREÄ	true	Kasvikset	21.247609942638626	0.3	2.4	1.9
388	CAPSICUM ANNUUM	SWEET PEPPER, YELLOW	PAPRIKA, KELTAINEN	true	Kasvikset	30.124282982791588	0.2	5.1	2
389	CUCURBITA PEPO	ZUCCHINI, SUMMER SQUASH	KESÄKURPITSA, ZUCCHINI	true	Kasvikset	18.420172084130016	0.4	2.5	0.7
392	ALLIUM SCHOENOPRASUM	CHIVES	RUOHOSIPULI	true	Kasvikset	25.20315487571702	0.92	0.58	2.7
393	ALLIUM SATIVUM	GARLIC	VALKOSIPULI	true	Kasvikset	108.30066921606118	0.6	1.6	2.1
423	VITIS VINIFERA L.	GRAPE, AVERAGE, GREEN OR RED, SEEDLESS	VIINIRYPÄLE, KESKIARVO, KIVETÖN, VIHREÄ/TUMMA	true	Hedelmät	73.54206500956022	0.4	15.5	1.1
440	VACCINIUM VITIS-IDAEA	LINGONBERRY, COWBERRY	PUOLUKKA	true	Hedelmät	55.8604206500956	0.657	8.165	2.6
441	VACCINIUM OXYCOCCOS, V. MACROCARPON	CRANBERRY	KARPALO	true	Hedelmät	32.1199808795411	0.1	4.45	3.5
